City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bongandanga,CD,2022-03-03 01:33:34,1.5,21.05,73.18,85,100,3.76
68,Petropavlovka,RU,2022-03-03 01:33:34,50.6114,105.3196,19.33,65,100,4.36
69,Puerto Ayora,EC,2022-03-03 01:33:34,-0.7393,-90.3518,77.56,92,45,5.01
70,Ancud,CL,2022-03-03 01:33:35,-41.8697,-73.8203,61.43,95,100,6.8
71,Tiarei,PF,2022-03-03 01:33:35,-17.5333,-149.3333,87.82,76,24,16.49
72,Izhma,RU,2022-03-03 01:33:36,65.0083,53.9113,29.35,84,97,11.59
73,Hermanus,ZA,2022-03-03 01:33:36,-34.4187,19.2345,66.9,90,0,10.09
74,General Zuazua,MX,2022-03-03 01:33:36,25.9,-100.1167,67.17,59,75,6.91
75,Havoysund,NO,2022-03-03 01:33:37,70.9963,24.6622,31.08,83,100,32.91
76,Iracoubo,GF,2022-03-03 01:33:37,5.4802,-53.2011,76.39,91,100,7.99
77,Gazli,UZ,2022-03-03 01:33:38,40.1333,63.45,46.4,62,99,9.71
78,Kongoussi,BF,2022-03-03 01:33:38,13.3258,-1.5347,81.07,24,78,6.82
79,Manjakandriana,MG,2022-03-03 01:33:38,-18.9167,47.8,64.09,97,29,0.85
80,San Marcos,US,2022-03-03 01:33:39,33.1434,-117.1661,73.9,54,0,10.36
81,Fortuna,US,2022-03-03 01:33:39,40.5982,-124.1573,58.48,93,100,10.36
82,Ilulissat,GL,2022-03-03 01:33:40,69.2167,-51.1,32.02,37,61,36.82
83,Carlsbad,US,2022-03-03 01:28:54,33.1581,-117.3506,78.42,56,0,10.36
84,Moron,AR,2022-03-03 01:33:40,-34.6534,-58.6198,76.75,51,0,4.5
85,Qaanaaq,GL,2022-03-03 01:33:40,77.484,-69.3632,6.93,53,0,7.83
86,Nybro,SE,2022-03-03 01:33:41,56.7446,15.9071,29.82,88,4,5.7
87,Marawi,PH,2022-03-03 01:33:41,7.9986,124.2928,71.65,57,26,2.68
88,Birigui,BR,2022-03-03 01:33:42,-21.2886,-50.34,72.5,86,100,3.27
89,San Patricio,US,2022-03-03 01:33:42,28.017,-97.5169,65.08,80,100,9.26
90,Sorkjosen,NO,2022-03-03 01:33:43,69.8,20.9333,29.8,89,100,20.98
91,Kirakira,SB,2022-03-03 01:33:43,-10.4544,161.9205,82.49,77,98,3.8
92,Sulangan,PH,2022-03-03 01:33:43,11.1373,123.7228,80.8,82,79,13.06
93,Ponta Do Sol,PT,2022-03-03 01:34:44,32.6667,-17.1,67.06,80,8,2.64
94,Najran,SA,2022-03-03 01:34:44,17.4924,44.1277,59.65,36,0,2.91
95,Cherskiy,RU,2022-03-03 01:34:45,68.75,161.3,-8.3,94,63,2.13
96,Port Lincoln,AU,2022-03-03 01:34:45,-34.7333,135.8667,79.63,54,99,4.23
97,Tezu,IN,2022-03-03 01:34:45,27.9167,96.1667,72.82,26,3,1.07
98,Nizhniy Baskunchak,RU,2022-03-03 01:34:46,48.2198,46.8311,38.12,83,86,11.25
99,Bada,RU,2022-03-03 01:34:46,51.392,109.8717,19.8,87,100,12.53
100,Tura,IN,2022-03-03 01:34:47,25.5198,90.2201,70.77,28,0,1.74
101,Touros,BR,2022-03-03 01:34:47,-5.1989,-35.4608,81.5,78,100,10.07
102,Kahului,US,2022-03-03 01:31:54,20.8947,-156.47,83.46,67,40,11.5
103,San Quintin,MX,2022-03-03 01:34:47,30.4833,-115.95,63.66,54,100,4.27
104,Bhatkal,IN,2022-03-03 01:34:48,13.9667,74.5667,75.7,34,29,5.68
105,Fort-Shevchenko,KZ,2022-03-03 01:34:48,44.5086,50.263,47.46,69,6,20.13
106,Chuy,UY,2022-03-03 01:34:49,-33.6971,-53.4616,68.05,79,0,4.99
107,Makakilo City,US,2022-03-03 01:34:49,21.3469,-158.0858,80.35,61,40,12.66
108,Le Port,RE,2022-03-03 01:34:49,-20.9373,55.2919,75.2,78,8,0.36
109,East London,ZA,2022-03-03 01:34:50,-33.0153,27.9116,70.38,76,1,4.05
110,Sitka,US,2022-03-03 01:34:50,57.0531,-135.33,40.89,75,75,12.66
111,Nioki,CD,2022-03-03 01:34:51,-2.7167,17.6833,70.34,89,96,1.12
112,Cayenne,GF,2022-03-03 01:32:57,4.9333,-52.3333,77.09,92,75,6.91
113,Mombasa,KE,2022-03-03 01:34:51,-4.0547,39.6636,75.0,88,96,7.56
114,Sao Filipe,CV,2022-03-03 01:34:52,14.8961,-24.4956,72.25,71,0,14.63
115,Campbell River,CA,2022-03-03 01:30:18,50.0163,-125.2446,49.59,93,75,9.22
116,Vestmannaeyjar,IS,2022-03-03 01:34:53,63.4427,-20.2734,41.49,64,100,21.45
117,Bac Lieu,VN,2022-03-03 01:34:53,9.285,105.7244,83.17,66,100,18.77
