City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Los Llanos De Aridane,ES,2022-03-01 19:44:29,28.6585,-17.9182,62.35,83,20,20.71
68,Bundaberg,AU,2022-03-01 19:44:10,-24.85,152.35,75.49,96,100,3.44
69,Castro,BR,2022-03-01 19:44:30,-24.7911,-50.0119,68.61,94,100,5.79
70,Beloha,MG,2022-03-01 19:44:30,-25.1667,45.05,72.21,93,47,6.51
71,Iqaluit,CA,2022-03-01 19:43:39,63.7506,-68.5145,-13.27,69,75,19.57
72,Saint-Philippe,RE,2022-03-01 19:44:31,-21.3585,55.7679,76.59,86,58,9.64
73,Lorengau,PG,2022-03-01 19:44:31,-2.0226,147.2712,79.45,81,100,4.92
74,Luganville,VU,2022-03-01 19:44:32,-15.5333,167.1667,76.3,92,100,10.98
75,Palu,ID,2022-03-01 19:44:32,-0.8917,119.8707,74.86,95,50,2.82
76,Carbondale,US,2022-03-01 19:43:47,37.7273,-89.2168,73.54,33,0,11.5
77,Vardo,NO,2022-03-01 19:44:33,70.3705,31.1107,33.55,100,100,19.57
78,Mnogovershinnyy,RU,2022-03-01 19:44:33,53.9353,139.9242,-8.12,98,99,2.82
79,Ushuaia,AR,2022-03-01 19:39:42,-54.8,-68.3,46.06,81,20,4.61
80,Las Colinas,PA,2022-03-01 19:44:34,8.55,-80.0833,80.74,27,41,17.85
81,Joaquim Gomes,BR,2022-03-01 19:44:34,-9.1373,-35.7519,84.45,60,100,10.63
82,Talnakh,RU,2022-03-01 19:44:34,69.4865,88.3972,1.2,97,100,5.06
83,Sibu,MY,2022-03-01 19:44:35,2.3,111.8167,77.31,100,40,0.0
84,Guerrero Negro,MX,2022-03-01 19:44:35,27.9769,-114.0611,73.15,34,58,8.75
85,Thompson,CA,2022-03-01 19:40:13,55.7435,-97.8558,1.56,55,40,9.22
86,Miri,MY,2022-03-01 19:44:36,4.4148,114.0089,75.34,100,40,3.44
87,Labuan,MY,2022-03-01 19:44:36,5.2767,115.2417,77.36,94,20,2.3
88,Greenwood,US,2022-03-01 19:44:37,34.1668,-82.1165,68.07,34,0,8.05
89,Merrill,US,2022-03-01 19:42:48,45.1805,-89.6835,36.59,65,100,10.36
90,Hasaki,JP,2022-03-01 19:45:37,35.7333,140.8333,46.8,65,96,21.09
91,Hermanus,ZA,2022-03-01 19:45:38,-34.4187,19.2345,69.8,82,5,4.54
92,Kalianget,ID,2022-03-01 19:45:38,-7.05,113.9333,79.43,86,100,12.33
93,Belen,TR,2022-03-01 19:45:38,36.4891,36.2233,48.34,100,75,5.75
94,Bandarbeyla,SO,2022-03-01 19:45:39,9.4942,50.8122,76.95,75,24,15.64
95,Ormara,PK,2022-03-01 19:45:39,25.2088,64.6357,72.79,75,2,10.04
96,Flin Flon,CA,2022-03-01 19:45:08,54.7682,-101.865,10.24,44,75,8.05
97,Bubaque,GW,2022-03-01 19:45:40,11.2833,-15.8333,75.79,71,0,21.32
98,The Valley,AI,2022-03-01 19:41:03,18.217,-63.0578,81.82,69,20,17.27
99,East London,ZA,2022-03-01 19:41:05,-33.0153,27.9116,76.05,85,82,16.17
100,Santa Rita,BR,2022-03-01 19:45:40,-7.1139,-34.9781,86.67,54,0,13.8
101,Dikson,RU,2022-03-01 19:41:05,73.5069,80.5464,-12.98,99,100,8.63
102,Chokurdakh,RU,2022-03-01 19:45:41,70.6333,147.9167,-7.04,98,100,7.29
103,Sabang,ID,2022-03-01 19:45:41,5.8933,95.3214,80.96,75,100,4.52
104,Busselton,AU,2022-03-01 19:45:42,-33.65,115.3333,59.04,81,89,12.5
105,Hobart,AU,2022-03-01 19:45:42,-42.8794,147.3294,60.66,91,75,4.61
106,Vaini,TO,2022-03-01 19:45:43,-21.2,-175.2,78.96,94,75,9.22
107,Mehamn,NO,2022-03-01 19:45:43,71.0357,27.8492,37.58,93,75,14.97
108,Brazzaville,CG,2022-03-01 19:45:43,-4.2658,15.2832,73.76,88,100,2.3
109,Tuktoyaktuk,CA,2022-03-01 19:45:44,69.4541,-133.0374,-11.2,70,0,18.41
110,Caravelas,BR,2022-03-01 19:45:44,-17.7125,-39.2481,81.3,69,53,7.45
111,La Ronge,CA,2022-03-01 19:45:45,55.1001,-105.2842,8.85,52,75,2.3
112,Luziania,BR,2022-03-01 19:45:45,-16.2525,-47.9503,87.49,62,85,4.59
113,Padang,ID,2022-03-01 19:45:45,-0.9492,100.3543,76.96,86,100,2.93
114,Qaqortoq,GL,2022-03-01 19:45:46,60.7167,-46.0333,27.1,47,100,13.56
115,Chervone,UA,2022-03-01 19:45:46,49.9564,28.8645,30.96,96,100,7.94
116,Udachnyy,RU,2022-03-01 19:45:47,66.4167,112.4,-27.08,100,88,4.7
117,Antigonish,CA,2022-03-01 19:45:09,45.6169,-61.9986,24.15,48,91,5.77
118,Lebu,CL,2022-03-01 19:43:27,-37.6167,-73.65,64.4,73,12,10.92
119,Sibiti,CG,2022-03-01 19:45:47,-3.6819,13.3499,68.22,99,100,0.58
120,Dunedin,NZ,2022-03-01 19:43:08,-45.8742,170.5036,53.8,66,45,3.0
121,Mount Gambier,AU,2022-03-01 19:45:48,-37.8333,140.7667,60.71,94,100,4.61
122,Erenhot,CN,2022-03-01 19:45:48,43.6475,111.9767,18.75,63,2,10.89
123,Vao,NC,2022-03-01 19:45:49,-22.6667,167.4833,79.41,88,100,20.33
124,Isangel,VU,2022-03-01 19:45:49,-19.55,169.2667,80.71,89,100,16.11
125,Tawau,MY,2022-03-01 19:45:50,4.2498,117.8871,77.13,88,99,1.01
126,Akdepe,TM,2022-03-01 19:45:50,42.0551,59.3788,42.89,69,98,4.56
127,Mahebourg,MU,2022-03-01 19:45:51,-20.4081,57.7,81.25,83,75,11.5
128,Negara,ID,2022-03-01 19:45:51,-8.3151,114.6025,75.9,90,100,3.91
129,Severo-Kurilsk,RU,2022-03-01 19:45:52,50.6789,156.125,18.75,59,95,9.22
130,Kondoa,TZ,2022-03-01 19:45:52,-4.9,35.7833,63.63,80,100,3.27
131,Vallenar,CL,2022-03-01 19:45:52,-28.5708,-70.7581,82.71,36,0,9.8
132,Sibolga,ID,2022-03-01 19:45:53,1.7427,98.7792,76.28,85,100,2.37
133,Sao Joao Da Barra,BR,2022-03-01 19:45:53,-21.6403,-41.0511,87.89,82,0,14.99
134,Kristiinankaupunki,FI,2022-03-01 19:45:54,62.2743,21.376,29.89,97,56,7.99
135,Ahipara,NZ,2022-03-01 19:46:54,-35.1667,173.1667,65.37,72,100,4.61
136,Domoni,KM,2022-03-01 19:46:54,-12.2569,44.5319,80.33,87,100,6.64
137,Stornoway,GB,2022-03-01 19:46:55,58.2093,-6.3865,40.93,90,20,6.91
138,Korla,CN,2022-03-01 19:46:55,41.7597,86.1469,36.16,44,100,1.45
139,Ishigaki,JP,2022-03-01 19:46:56,24.3448,124.1572,71.83,75,84,8.59
140,Itarema,BR,2022-03-01 19:46:56,-2.9248,-39.9167,82.96,70,99,15.17
141,Alofi,NU,2022-03-01 19:42:26,-19.0595,-169.9187,80.49,89,93,4.61
142,Sabla,NG,2022-03-01 19:46:57,12.7525,4.7077,84.81,8,5,8.01
143,Verkhnetulomskiy,RU,2022-03-01 19:46:57,68.6073,31.7962,30.33,96,100,14.36
144,Cockburn Town,TC,2022-03-01 19:46:58,21.4612,-71.1419,80.56,69,40,8.05
145,Fairbanks,US,2022-03-01 19:45:03,64.8378,-147.7164,20.3,85,100,0.0
146,Susangerd,IR,2022-03-01 19:46:58,31.5608,48.1831,57.22,26,57,6.17
147,Amursk,RU,2022-03-01 19:46:59,50.2261,136.8994,-14.08,98,99,1.63
148,Clyde River,CA,2022-03-01 19:46:59,70.4692,-68.5914,-0.17,71,0,16.11
